4NR5	TNR1	soil2	TNR3	4NRh5	TNRh2	TGRh4	WGRh3	WNR4	4NRh3	TNR4	4GRh4	WGRh4	WNR5	soil3	TGRh2	4NRh2	TNRh3	TNR2	4NR4	TGRh5	TNRh5	WNR1	TNRh6	WNR2	4NR6	WGRh5	WGR3	4NRh1	WNR6	4GRh1	soil1	WGRh6	4NR3	4NRh4	TGR2	soil5	WNRh5	WNRh2	WGR5	soil6	WNRh4	WNR3	WGRh2	TNR5	4NRh6	4GRh3	WGR4	TGRh6	WNRh3	TNR6	soil4	TNRh1	TGR6	TGRh1	WGR6	TGR5	WNRh6	TGRh3	WGRh1	TNRh4	WGR2	4GR5	WNRh1	TGR1	4GRh2	4GR4	WGR1	TGR4	4GR3	4GRh6	4NR2	4GRh5	TGR3	4NR1	4GR6	4GR1	4GR2
OTU_111	1	0	8	0	181	0	100	39	9	278	0	14	31	10	4	1	113	48	6	2	0	75	23	34	0	11	31	0	22	18	1	120	105	0	241	0	15	23	10	3	36	26	15	40	21	71	14	1	0	26	0	9	28	0	17	1	0	18	308	13	20	0	0	12	0	5	1	0	0	0	20	1	11	0	0	0	0	0
OTU_129	0	0	120	0	121	78	90	29	0	81	0	3	28	0	109	70	67	62	0	2	0	94	0	30	0	0	17	0	18	1	0	149	19	0	59	0	128	16	7	1	130	12	2	29	0	45	1	0	0	24	0	135	13	0	55	1	0	1	59	14	8	2	0	7	0	0	0	0	0	0	4	0	5	2	0	0	0	0
OTU_170	12	0	161	0	1065	113	146	493	122	1073	28	71	465	222	124	70	822	262	4	54	0	107	98	66	0	37	238	68	745	137	6	162	527	3	891	1	127	223	149	58	162	224	224	456	0	679	60	16	0	247	0	143	98	0	29	78	5	121	242	406	75	16	6	303	0	29	2	73	0	0	162	3	91	0	6	5	2	2
OTU_3	54	235	105	20	385	98	2297	7358	40	372	130	293	10837	69	118	462	313	230	120	13	1309	330	27	212	0	49	1177	65	331	52	1099	96	15013	5	438	42	91	51	22	1531	79	41	103	3289	58	236	867	56	6552	66	1	109	618	20	6334	108	40	22	2746	6154	133	73	25	54	3	553	12	72	108	5	3089	2	7263	34	5	7	14	4
OTU_3338	114	58	60	13	117	663	820	180	104	116	180	15	37	76	29	123	58	1476	450	78	64	148	56	75	0	28	52	58	207	98	1	84	100	0	297	0	28	23	26	31	49	118	118	184	0	69	5	12	94	59	0	62	214	0	120	46	106	12	483	19	248	13	0	78	0	5	3	13	24	4	23	0	15	4	3	5	13	0
OTU_26	326	0	38	0	1001	133	153	164	1650	543	53	30	163	1099	39	15	583	80	13	248	0	93	823	28	2	477	106	249	317	1713	8	31	168	198	331	0	27	83	83	471	65	135	1780	128	0	297	21	151	24	132	0	81	42	0	21	388	7	71	187	129	81	103	55	130	0	31	64	168	0	18	80	207	97	6	55	65	23	30
OTU_24	787	197	1	41	8	0	2	3	744	6	4840	1	4	1542	0	1	9	6	1160	520	3	9	997	0	3	1555	0	145	1	1059	0	0	4	910	3	0	1	1	2	523	0	3	1630	1	0	7	2	193	1	4	0	0	5	0	2	479	131	2	0	0	5	125	401	2	2	14	76	160	0	100	1	549	3	0	171	92	8	81
OTU_3630	0	0	47	0	50	68	48	11	0	54	2	1	30	0	48	39	36	23	0	0	0	68	0	50	0	0	10	0	18	3	0	69	16	0	29	0	44	13	12	1	53	6	0	15	2	49	7	0	0	16	0	71	28	0	28	0	0	9	47	13	13	0	0	13	0	3	0	0	0	0	10	0	10	0	0	0	0	0
OTU_40	2	0	418	2	297	35	250	115	7	377	6	40	97	6	357	130	236	152	1	2	11	272	5	97	0	0	49	0	173	9	3	580	100	2	180	1	417	55	29	1	493	45	13	85	2	242	15	1	10	74	0	501	82	0	127	4	0	23	166	59	42	1	0	44	1	3	0	4	0	0	38	0	21	0	0	0	0	0
OTU_204	0	0	128	0	151	84	115	33	0	128	0	13	38	0	139	84	87	113	0	0	0	143	0	62	0	0	30	0	81	3	1	159	42	0	136	0	158	12	9	2	207	11	4	36	0	107	11	0	0	46	0	135	57	0	61	0	0	10	120	23	44	0	1	16	0	1	0	0	0	0	10	0	12	0	0	0	0	0
