4GRh3	WGR6	4GR4	WGR2	WGRh3	WNR5	4NRh3	4GR1	TNR4	soil6	WGRh4	WNRh6	WNR1	WNR4	4NR1	4GR3	WGR4	soil5	WGRh1	4NR3	WNRh3	WNRh1	4NR6	WNRh2	4GR6	4GRh1	WNR3	WNRh4	4NRh6	soil2	TNR2	4NRh4	4GR2	4GRh6	4GRh2	WGR5	TNRh5	TGRh3	WNRh5	TNRh3	4NRh2	WGRh2	4NR2	WGR3	4NR5	soil3	WGRh5	WNR6	soil1	WGR1	4NRh1	soil4	4NR4	TGR5	WGRh6	TGRh4	4GR5	4GRh4	TGRh1	4GRh5	4NRh5	TGR3	TNR3	TGR4	TNRh4	TGRh2	TNRh1	TNR1	TNRh2	TGR2	TNRh6	TNR5	TGR6	TGRh5	TGRh6	TGR1	TNR6	WNR2
OTU_137	7	13	2	56	226	30	1	2758	1	1	24	8	194	29	167	366	487	0	4	30	0	6	371	6	107	243	147	4	22	0	0	1	322	11	9	486	1	0	0	1	1	2	7	3346	2135	0	58	555	0	48	5	1	2	1	1	0	480	3	38	16	11	1	0	0	10	0	0	23	0	0	0	0	0	0	0	0	0	0
OTU_53	112	274	175	199	60	604	89	232	117	228	149	130	272	395	1266	339	408	9	219	521	259	266	616	155	276	18	636	165	183	84	289	47	245	256	45	226	15	567	224	60	126	193	699	192	1185	12	196	1056	43	189	30	78	188	99	62	138	325	108	38	155	89	0	23	86	0	27	0	0	0	0	0	0	0	0	0	0	0	0
OTU_64	1	0	3	0	0	3	16	907	0	0	0	3	10	3134	18	9	1	0	0	1	2	1	0	0	2934	90	4	1063	1	0	3708	0	3	728	1	0	2	0	19	107	812	1	2724	0	13	1	0	2	0	1	1	1	54	0	1	0	8	0	23	0	0	1	0	0	0	0	0	1	136	0	0	0	75	0	0	0	0	0
OTU_86	10	29	26	113	7	3	0	32	1	2	4	0	7	8	150	99	69	0	18	23	4	4	14	42	33	2	10	15	7	1	6	2	40	14	3	43	1	0	7	58	2	7924	30	54	46	33	1	4	25	78	1	11	8	1	31	18	78	356	54	7	2	36	14	3	0	49	130	0	0	0	27	12	0	0	0	0	0	0
OTU_304	0	0	0	0	37	0	0	0	0	24	8	16	0	0	0	0	0	6	68	0	0	0	0	305	0	8	0	134	10	18	0	3	0	0	0	0	0	0	5	0	0	0	1	0	0	0	52	0	61	3	3	151	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_90	424	0	0	0	246	0	435	1	0	573	415	10	4	0	0	1	1	507	0	0	68	262	1	217	1	0	0	57	129	566	1	0	0	325	74	0	89	0	29	2	0	43	0	0	0	1182	228	0	1709	101	22	646	0	0	201	0	3	49	0	78	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_68	23	509	965	310	55	607	17	285	113	14	70	67	714	649	971	181	878	24	28	332	102	62	1736	45	99	54	1342	52	43	0	3	13	68	144	13	785	16	24	13	0	14	34	488	584	312	2	77	911	6	722	1	2	1500	56	30	24	1335	90	0	38	24	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
OTU_31	231	1197	1132	388	181	3035	133	297	93	1	598	265	2245	2518	1126	983	1992	7	205	2086	743	468	2845	688	1279	156	5140	364	559	15	497	114	949	588	142	759	93	184	453	28	131	156	2406	271	717	17	502	2043	2	1028	35	4	750	844	152	90	788	40	89	171	274	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_186	0	1	0	0	0	0	0	0	0	0	0	2	1	0	181	1	0	1	0	0	0	0	0	68	0	0	3	5	47	0	0	1	1	0	0	0	251	0	0	0	0	2	0	0	4542	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_79	16	3	1	1	241	0	80	1	0	100	161	72	1	0	1	1	0	1240	94	0	224	141	0	97	1	102	1	24	28	593	0	52	1	95	58	2	10	14	139	1	195	628	0	0	0	3283	205	0	1880	113	21	682	1	1	62	14	1	195	1	143	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_245	7	210	23	26	28	72	7	16	123	10	11	2	115	129	170	35	62	0	6	30	10	22	61	21	51	3	76	24	8	1	7	4	39	32	7	20	11	9	7	17	10	8	85	59	64	0	43	104	2	17	0	1	10	51	18	18	54	6	10	15	10	0	20	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132	40	76	73	66	13	194	34	79	33	68	93	58	72	145	401	99	112	1	46	132	77	85	182	66	59	20	185	59	68	29	49	11	88	104	12	54	3	166	77	27	46	46	179	58	307	0	49	298	17	79	9	15	57	28	17	25	86	39	1	27	36	0	0	47	0	0	30	0	0	0	0	0	0	0	0	0	0	0
OTU_125	45	109	49	468	30	351	220	3	9	1	5	36	470	267	1406	39	234	0	20	263	169	509	380	39	262	0	1692	40	47	0	0	513	667	20	95	37	1	37	66	327	33	75	666	89	281	0	31	429	1	12	50	28	117	94	10	26	236	20	14	16	97	0	0	64	0	0	19	0	0	0	0	0	0	0	0	0	0	0
OTU_210	0	0	0	0	7	1	13	0	0	194	20	0	0	0	1	0	0	356	13	0	24	38	0	0	0	18	0	80	58	294	0	9	1	0	9	0	0	0	24	0	14	16	0	1	0	266	35	1	408	21	0	917	0	1	0	147	0	24	54	15	176	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
OTU_1446	6	38	4	63	19	231	32	4	25	0	20	23	95	110	414	17	71	0	19	80	30	33	110	6	39	42	197	48	20	2	0	12	161	23	6	60	0	55	29	0	8	26	127	19	30	0	15	130	16	28	2	1	57	13	24	9	132	6	79	5	14	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
OTU_671	0	418	2	2	0	0	0	0	3	0	2	2	3	0	86	2	52	0	0	0	2	0	1	2	0	4	95	2	1	0	0	89	1	0	0	147	0	1	0	0	0	0	4	0	437	1	86	1	1	1	0	0	7625	0	3	0	1	0	0	0	1	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_209	0	6	0	0	106	16	9	435	0	1	13	4	86	35	13	118	167	2	0	12	3	1	46	11	49	37	71	4	1	0	0	2	101	2	6	190	1	2	0	5	0	3	1	1612	2	0	25	634	0	1	0	0	26	0	1	0	1	1	1	0	0	0	0	1	0	1	0	18	0	0	0	0	0	0	0	0	0	0
OTU_70	155	0	1	0	146	4	181	1	0	22	91	323	2	1	0	0	1	594	1013	0	953	894	0	193	0	509	7	465	296	2410	0	202	0	324	147	0	13	3	1125	138	699	170	0	0	2	0	386	1	0	11	202	6	0	0	85	38	0	190	0	91	175	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0
OTU_161	104	421	1686	1	16	174	195	90	0	1	5	9	203	511	154	1032	35	1	369	1314	7	26	47	17	572	2	87	48	8	3	2	27	22	234	3	38	5	196	15	54	8	8	110	221	100	0	2	24	16	76	2	1	18	27	79	147	53	120	11	17	5	0	0	2	0	0	5	3	0	0	0	0	0	0	0	0	0	0
OTU_1362	76	99	993	622	100	5768	111	476	544	7	117	232	1608	186	2899	651	1337	0	167	1021	92	128	1142	290	358	103	944	52	109	2	5	3	59	80	17	391	46	218	796	95	61	32	2787	68	90	2	89	5718	1	2085	18	2	46	2009	37	87	139	25	640	283	25	0	0	1	0	29	22	90	13	0	18	0	0	0	0	0	0	0
OTU_401	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	1	0	22	0	0	45	0	0	4	0	0	0	20	21	0	0	0	0	0	181	0	0	0	0	99	0	0	0	0	0	11	74	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54	0	1	5	0	1	9	0	1	1	0	2	21	14429	0	3	1	2	0	0	2	13	412	2	1	0	0	1	0	1	0	1	0	3	1	2	2	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	5	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_170	17	341	74	100	27	246	31	130	123	9	72	20	238	246	222	51	218	0	41	314	31	54	177	41	73	19	247	42	21	1	74	5	111	44	5	96	23	18	38	30	17	25	264	167	401	2	64	328	10	79	2	6	84	73	33	24	92	16	2	13	19	0	12	2	3	18	5	4	0	0	0	0	0	0	0	0	0	0
OTU_56	38	148	2	0	0	0	1	3	7620	0	0	1	241	100	60	97	0	0	84	3	126	0	0	360	0	1	806	14	3	2	0	608	36	0	115	17	6	13	15	0	0	1	0	1	189	1	1	1	0	460	0	1	5121	0	2	0	110	6	1	63	10	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_91	1	1402	500	280	0	30	170	22	0	0	427	11	913	1830	298	42	370	1	232	272	17	45	1	734	633	12	82	279	2	0	8	2	4	521	1	3	2	0	1	36	7	108	47	0	11	1	0	99	0	964	47	1	6	0	1021	23	20	19	210	21	2	0	1	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0
